Czas_Rejestracji;Wiatr_V;Wiatr_Kierunek;Wilgotnosc;T_Powietrza;T_Grunt;Opad_Typ;Lokalizacja_Opis
2016-08-30 00:00:00.000;2.1;307.00;66.30;21.00;22.50;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 00:00:00.000;1.19;280.00;63.70;20.31;23.37;69;MOST ROMANA DMOWSKIEGO
2016-08-30 00:00:00.000;0.9;255.50;54.80;19.80;22.80;69;AL. JANA III SOBIESKIEGO
2016-08-30 00:00:00.000;2.2;346.70;58.80;20.30;24.40;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 00:00:00.000;0;205.20;65.50;19.30;24.80;69;ESTAKADA GADOWIANKA
2016-08-30 00:00:00.000;4.2;324.60;65.80;21.80;22.60;69;MOST MILENIJNY
2016-08-30 00:00:00.000;2.3;110.70;66.10;22.00;23.30;69;MOST WARSZAWSKI
2016-08-30 00:10:00.000;1.9;304.10;67.50;20.80;22.40;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 00:10:00.000;1.26;284.00;64.44;20.16;23.19;69;MOST ROMANA DMOWSKIEGO
2016-08-30 00:10:00.000;1.2;242.90;55.30;19.80;22.80;69;AL. JANA III SOBIESKIEGO
2016-08-30 00:10:00.000;2.3;340.50;59.70;20.00;24.30;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 00:10:00.000;0;202.80;66.90;19.10;24.70;69;ESTAKADA GADOWIANKA
2016-08-30 00:10:00.000;4.4;323.30;65.90;21.70;22.40;69;MOST MILENIJNY
2016-08-30 00:10:00.000;2;105.90;67.30;21.80;23.10;69;MOST WARSZAWSKI
2016-08-30 00:20:00.000;2.3;306.80;67.70;20.70;22.30;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 00:20:00.000;0.88;284.00;64.91;20.05;23.00;69;MOST ROMANA DMOWSKIEGO
2016-08-30 00:20:00.000;1;261.90;55.90;19.60;22.60;69;AL. JANA III SOBIESKIEGO
2016-08-30 00:20:00.000;2.3;347.00;60.30;19.90;24.20;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 00:20:00.000;0;202.60;67.60;18.90;24.60;69;ESTAKADA GADOWIANKA
2016-08-30 00:20:00.000;4.1;322.80;66.60;21.60;22.30;69;MOST MILENIJNY
2016-08-30 00:20:00.000;1.9;99.50;67.90;21.70;23.10;69;MOST WARSZAWSKI
2016-08-30 00:30:00.000;1.8;301.40;68.10;20.60;22.20;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 00:30:00.000;1.42;282.00;65.17;19.99;22.91;69;MOST ROMANA DMOWSKIEGO
2016-08-30 00:30:00.000;0.8;259.80;56.70;19.50;22.50;69;AL. JANA III SOBIESKIEGO
2016-08-30 00:30:00.000;2.2;345.80;60.70;19.80;24.10;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 00:30:00.000;0;205.80;67.70;18.90;24.50;69;ESTAKADA GADOWIANKA
2016-08-30 00:30:00.000;4;325.50;67.30;21.50;22.30;69;MOST MILENIJNY
2016-08-30 00:30:00.000;2.3;112.50;67.70;21.60;23.10;69;MOST WARSZAWSKI
2016-08-30 00:40:00.000;1.6;288.00;69.10;20.30;22.00;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 00:40:00.000;1.19;281.00;65.70;19.90;22.87;69;MOST ROMANA DMOWSKIEGO
2016-08-30 00:40:00.000;1.2;274.00;57.30;19.40;22.50;69;AL. JANA III SOBIESKIEGO
2016-08-30 00:40:00.000;2.2;346.40;60.80;19.90;24.10;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 00:40:00.000;0;177.80;68.70;18.60;24.40;69;ESTAKADA GADOWIANKA
2016-08-30 00:40:00.000;4.8;323.10;67.40;21.50;22.10;69;MOST MILENIJNY
2016-08-30 00:40:00.000;2.1;109.30;68.10;21.50;23.00;69;MOST WARSZAWSKI
2016-08-30 00:50:00.000;1.6;292.40;70.00;20.00;21.70;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 00:50:00.000;1.6;281.00;65.92;19.78;22.65;69;MOST ROMANA DMOWSKIEGO
2016-08-30 00:50:00.000;0.9;262.10;58.00;19.30;22.40;69;AL. JANA III SOBIESKIEGO
2016-08-30 00:50:00.000;1.9;336.30;61.60;19.80;24.00;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 00:50:00.000;0;189.20;69.60;18.40;24.30;69;ESTAKADA GADOWIANKA
2016-08-30 00:50:00.000;3;315.50;67.80;21.20;21.80;69;MOST MILENIJNY
2016-08-30 00:50:00.000;2.2;100.60;68.80;21.30;22.80;69;MOST WARSZAWSKI
2016-08-30 01:00:00.000;1.5;296.10;70.50;19.70;21.40;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 01:00:00.000;1.54;278.00;66.24;19.62;22.29;69;MOST ROMANA DMOWSKIEGO
2016-08-30 01:00:00.000;1.9;261.00;58.30;19.10;22.10;69;AL. JANA III SOBIESKIEGO
2016-08-30 01:00:00.000;2.3;337.80;62.20;19.60;23.90;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 01:00:00.000;0;199.40;70.00;18.10;24.20;69;ESTAKADA GADOWIANKA
2016-08-30 01:00:00.000;2.6;308.50;69.00;20.90;21.50;69;MOST MILENIJNY
2016-08-30 01:00:00.000;2.3;101.20;70.70;21.20;22.50;69;MOST WARSZAWSKI
2016-08-30 01:10:00.000;1.4;295.90;70.70;19.50;21.10;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 01:10:00.000;1.44;280.00;67.35;19.39;21.90;69;MOST ROMANA DMOWSKIEGO
2016-08-30 01:10:00.000;1.8;263.50;59.00;18.90;21.80;69;AL. JANA III SOBIESKIEGO
2016-08-30 01:10:00.000;2.5;341.20;62.60;19.40;23.80;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 01:10:00.000;0;204.00;69.90;17.90;24.00;69;ESTAKADA GADOWIANKA
2016-08-30 01:10:00.000;3;322.20;70.10;20.70;21.30;69;MOST MILENIJNY
2016-08-30 01:10:00.000;3.1;111.50;71.80;20.80;22.10;69;MOST WARSZAWSKI
2016-08-30 01:20:00.000;1.2;302.40;71.10;19.30;20.90;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 01:20:00.000;1.66;283.00;68.41;19.13;;69;MOST ROMANA DMOWSKIEGO
2016-08-30 01:20:00.000;1.4;266.10;61.00;18.50;21.40;69;AL. JANA III SOBIESKIEGO
2016-08-30 01:20:00.000;2.3;338.30;63.90;19.10;23.80;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 01:20:00.000;0;208.30;70.40;17.70;23.90;69;ESTAKADA GADOWIANKA
2016-08-30 01:20:00.000;3.1;324.00;71.30;20.40;21.00;69;MOST MILENIJNY
2016-08-30 01:20:00.000;2.9;115.60;72.10;20.60;21.80;69;MOST WARSZAWSKI
2016-08-30 01:30:00.000;0.5;280.80;71.60;19.10;20.70;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 01:30:00.000;1.29;289.00;70.34;18.81;21.16;69;MOST ROMANA DMOWSKIEGO
2016-08-30 01:30:00.000;1.2;259.50;62.20;18.30;21.10;69;AL. JANA III SOBIESKIEGO
2016-08-30 01:30:00.000;2.4;347.50;65.20;18.80;23.70;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 01:30:00.000;0;199.40;71.20;17.40;23.70;69;ESTAKADA GADOWIANKA
2016-08-30 01:30:00.000;2.5;317.20;71.70;20.20;20.80;69;MOST MILENIJNY
2016-08-30 01:30:00.000;2.2;107.80;73.40;20.40;21.60;69;MOST WARSZAWSKI
2016-08-30 01:40:00.000;0.1;278.20;72.50;18.90;20.60;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 01:40:00.000;0.99;278.00;71.23;18.56;20.83;69;MOST ROMANA DMOWSKIEGO
2016-08-30 01:40:00.000;1.4;250.90;61.80;18.10;20.90;69;AL. JANA III SOBIESKIEGO
2016-08-30 01:40:00.000;2.2;346.10;66.30;18.50;23.60;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 01:40:00.000;0;205.30;71.90;17.30;23.50;69;ESTAKADA GADOWIANKA
2016-08-30 01:40:00.000;2.1;305.80;71.80;20.00;20.70;69;MOST MILENIJNY
2016-08-30 01:40:00.000;2;113.80;74.10;20.20;21.40;69;MOST WARSZAWSKI
2016-08-30 01:50:00.000;0.1;277.40;73.40;18.70;20.40;69;UL. LOTNICZA / UL. KOSMONAUTÓW
2016-08-30 01:50:00.000;1.15;280.00;70.97;18.39;20.53;69;MOST ROMANA DMOWSKIEGO
2016-08-30 01:50:00.000;1;259.10;62.80;17.70;20.60;69;AL. JANA III SOBIESKIEGO
2016-08-30 01:50:00.000;2.2;347.80;66.60;18.40;23.40;69;UL. OPOLSKA / UL. KATOWICKA
2016-08-30 01:50:00.000;0;204.60;72.60;17.10;23.40;69;ESTAKADA GADOWIANKA
