"CZAS","NO2 Dwutlenek azotu  [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","C6H6 Benzen  [µg/m3]","PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.06","67","193","82","683","828","0,9","26","14"
"02.06","61","252","125","852","1027","1,0","31","23"
"03.06","53","249","128","846","1151","1,1","41","27"
"04.06","68","208","92","769","1159","1,0","40","26"
"05.06","63","174","72","720","990","1,0","38","25"
"06.06","69","203","88","540","814","0,7","25","11"
"07.06","69","199","85","529","656","0,7","34","14"
"08.06","79","206","83","647","843","0,8","35","17"
"09.06","65","182","76","636","839","0,9","48","28"
"10.06","63","187","81","602","683","0,8","44","24"
"11.06","62","182","79","677","801","1,1","38","21"
"12.06","62","153","60","599","823","1,1","30","21"
"13.06","57","145","58","485","712","0,8","33","20"
"14.06","58","176","77","582","680","1,0","39","30"
"15.06","56","170","75","612","701","0,9","29","26"
"16.06","60","196","89","653","853","0,8","22","15"
"17.06","48","135","57","511","792","0,6","33","13"
"18.06","56","140","55","540","759","0,7","18","11"
"19.06","52","126","48","522","766","0,9","24","18"
"20.06","-","-","-","617","748","0,8","27","23"
"21.06","-","-","-","554","648","0,9","28","22"
"22.06","97","229","87","688","895","0,9","36","26"
"23.06","90","238","97","766","983","1,0","42","32"
"24.06","93","214","79","699","890","1,3","44","30"
"25.06","69","156","57","611","722","1,1","43","27"
"26.06","40","99","38","509","748","0,8","32","25"
"27.06","65","185","79","566","767","-","31","21"
"28.06","69","197","84","650","823","-","40","32"
"29.06","81","197","76","630","762","1,0","35","27"
"30.06","-","-","-","628","748","0,9","26","19"
"wartość średnia","66","184","77","631","-","0,9","34","22"
"minimum","40","99","38","485","648","0,6","18","11"
"maksimum","97","252","128","852","1230","1,3","48","32"
